shape_area,shape_perimeter,shape_eccentricity,shape_solidity,shape_circularity,shape_convexity,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,HSV_mean_0,HSV_std_0,HSV_min_0,HSV_max_0,HSV_mean_1,HSV_std_1,HSV_min_1,HSV_max_1,HSV_mean_2,HSV_std_2,HSV_min_2,HSV_max_2,LAB_mean_0,LAB_std_0,LAB_min_0,LAB_max_0,LAB_mean_1,LAB_std_1,LAB_min_1,LAB_max_1,LAB_mean_2,LAB_std_2,LAB_min_2,LAB_max_2,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,lbp_18,lbp_19,lbp_20,lbp_21,lbp_22,lbp_23,lbp_24,lbp_25,lbp_26,lbp_27,lbp_28,lbp_29,lbp_30,lbp_31,lbp_32,lbp_33,lbp_34,lbp_35,lbp_36,lbp_37,lbp_38,lbp_39,lbp_40,lbp_41,lbp_42,lbp_43,lbp_44,lbp_45,lbp_46,lbp_47,lbp_48,lbp_49,lbp_50,lbp_51,lbp_52,lbp_53,lbp_54,lbp_55,lbp_56,lbp_57,lbp_58,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,glcm_ASM,entropy,label,path
1532.0,232.20815280171308,0.8987153541645571,0.7671507260891337,0.3570373923318759,1.0,0.28006490636163583,0.03599375364567517,0.0010104650440187375,0.0006353444565155874,5.058957672708729e-07,0.00011644891770433961,-5.6728911414639806e-08,120.95248413085938,29.25462532043457,0.0,176.0,147.54470825195312,61.96869659423828,4.0,255.0,166.1116485595703,21.1446475982666,101.0,213.0,94.91454315185547,25.042325973510742,40.0,150.0,162.67027282714844,15.29803466796875,126.0,189.0,79.99024200439453,20.97011947631836,45.0,134.0,0.002168021680216802,0.005058717253839205,0.013008130081300813,0.07082204155374887,0.4410117434507678,0.32339656729900634,0.061065943992773264,0.02077687443541102,0.04769647696476965,0.014995483288166215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68541800128123,0.9449357675650593,0.881133848425783,0.8448691028625174,0.7763968588416307,4.690461222475661,Benign,./data/Original/Benign/WBC-Benign-148.jpg
1452.0,344.78279195104676,0.43041925575778334,0.5943512075317233,0.15349184842853053,1.0,0.2817890585566851,0.0008275353398245186,0.0019507440866455865,5.787008714421682e-06,-5.555472481412284e-10,1.5855032593109053e-07,2.634937894856841e-10,112.72527313232422,11.814867973327637,0.0,179.0,68.01507568359375,52.215606689453125,0.0,255.0,128.2677459716797,21.131866455078125,65.0,198.0,109.51945495605469,21.55189323425293,36.0,178.0,134.6139678955078,12.443978309631348,120.0,183.0,111.68912506103516,17.046436309814453,53.0,148.0,0.005917639429312581,0.009727626459143969,0.020022697795071338,0.10635538261997406,0.3453307392996109,0.29936770428015563,0.09557392996108949,0.043936446173800256,0.045314526588845654,0.02845330739299611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.189341768097375,0.8808938549888782,0.7325348011895978,0.827468106950529,0.5366072349538836,4.3240228804499115,Benign,./data/Original/Benign/WBC-Benign-115.jpg
1313.0,379.889393668845,0.923038601730539,0.5533080488832701,0.11433001310019343,1.0,0.45063651909348085,0.11185325911319853,0.019027376197660293,0.009024023409173083,0.00011404579344499922,0.002822489270297665,-3.123918844269838e-05,117.24656677246094,9.917887687683105,75.0,150.0,58.35026931762695,49.53986740112305,3.0,255.0,158.4497833251953,17.75237274169922,91.0,221.0,136.42453002929688,25.50357437133789,47.0,221.0,137.21144104003906,12.042896270751953,121.0,181.0,110.00597381591797,16.676441192626953,53.0,129.0,0.006873879258816497,0.014046622833233711,0.028093245666467422,0.11640765092647938,0.2943813508667065,0.2939330543933054,0.09847579199043634,0.05543933054393305,0.05872683801554095,0.03362223550508069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.056153907751441,0.9461971088070688,0.8568092512640946,0.8807169901981103,0.7341220930517384,4.341267779834672,Benign,./data/Original/Benign/WBC-Benign-445.jpg
1095.0,166.75230867899737,0.6476774506821179,0.8767013610888711,0.4948576317131074,1.0,0.1823949234247539,0.002343494567206843,0.0007327475729342716,4.685737177981115e-05,-5.794110870692745e-10,-1.7139498198530274e-06,8.663131231364121e-09,125.6226806640625,14.574017524719238,0.0,173.0,78.35160827636719,70.58303833007812,0.0,255.0,165.0392608642578,23.60024070739746,112.0,223.0,129.6071319580078,27.45323371887207,50.0,211.0,146.94219970703125,19.83357810974121,125.0,192.0,101.93960571289062,23.77451515197754,45.0,131.0,0.007374925254135938,0.014151883595774368,0.028702411799880406,0.11441100259118996,0.31213872832369943,0.2928044648196133,0.09188758222045047,0.04444887382898146,0.05820211281642416,0.03587801474985051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.784573190262652,0.9532140466361749,0.8911937905280448,0.8617090414613809,0.7942263722757447,4.614860233503547,Benign,./data/Original/Benign/WBC-Benign-388.jpg
818.0,198.0243866176395,0.9801770640147033,0.6666666666666666,0.262135484591121,1.0,0.5934266020387702,0.30096060816621867,0.01495503713909433,0.008373327756913233,9.290974210792438e-05,0.004414849185148214,-1.2145868832773296e-05,110.4092788696289,9.399246215820312,0.0,158.0,62.003963470458984,41.99400329589844,0.0,255.0,133.48379516601562,22.383071899414062,60.0,211.0,117.0084228515625,20.20350456237793,44.0,200.0,132.4872589111328,10.469992637634277,121.0,181.0,113.06481170654297,14.894274711608887,54.0,132.0,0.004657615697155881,0.009315231394311762,0.01991873947081558,0.10008918838569023,0.3193935189773065,0.313744921216926,0.10970171439896938,0.04568427311465662,0.04578337132097909,0.03171142602318898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.611426969891097,0.896967358274009,0.7774352446695305,0.8169192104416176,0.6044055596543728,4.257203417788218,Benign,./data/Original/Benign/WBC-Benign-292.jpg
2271.0,519.6295090390227,0.7231645129459058,0.623729744575666,0.10569133561212779,1.0,0.3180600910639859,0.012681958714610107,0.01939073713235379,0.0005363171777266988,-1.9520607211213346e-07,-4.656268298234735e-06,-1.7184850701925407e-06,116.64744567871094,9.42590618133545,60.0,136.0,33.63908386230469,26.105674743652344,3.0,160.0,156.3435516357422,14.241546630859375,121.0,198.0,147.04473876953125,14.956496238708496,74.0,194.0,132.2203826904297,6.435802936553955,122.0,162.0,117.7275390625,9.914807319641113,74.0,131.0,0.006969965783804334,0.018121911037891267,0.027499683183373463,0.10530984666075276,0.28500823723228996,0.29286528957039665,0.1070840197693575,0.04916994043847421,0.06463059181345837,0.043340514510201496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.544562780269057,0.9406409557061396,0.8322782940605516,0.8890080765796547,0.6926871587643422,3.836841359294478,Benign,./data/Original/Benign/WBC-Benign-486.jpg
860.0,169.6812408671319,0.8977336946692759,0.8029878618113913,0.3753536577106784,1.0,0.2428135997459361,0.02685798822843359,0.00040117615914144963,8.415622733469705e-05,7.101091008432577e-09,1.7634120176453974e-07,1.3736170768284477e-08,131.81298828125,4.622250556945801,114.0,142.0,169.23081970214844,36.99301528930664,24.0,255.0,178.12074279785156,17.561952590942383,133.0,227.0,96.1353530883789,20.438613891601562,46.0,183.0,173.11160278320312,9.936490058898926,132.0,190.0,73.55252838134766,11.616495132446289,45.0,119.0,0.011551874455100261,0.015475152571926765,0.03770706190061029,0.11987794245858761,0.31102877070619006,0.2654751525719268,0.09699215344376634,0.0499128160418483,0.0503487358326068,0.04163034001743679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4699111146700834,0.9592272807782101,0.9018581379420252,0.876446958116367,0.813348100972257,4.5172140952841096,Benign,./data/Original/Benign/WBC-Benign-109.jpg
1020.0,176.53910524340097,0.6859345178785807,0.8408903544929925,0.41127110078334206,1.0,0.19797113855153842,0.0037088471147240136,0.002105789665867168,0.0003127307823564567,1.4477057202299517e-07,-1.589870168530723e-07,2.0844079250582906e-07,122.6617660522461,6.64902925491333,95.0,138.0,108.7859878540039,59.52550506591797,8.0,255.0,150.34075927734375,20.266822814941406,95.0,212.0,104.49510192871094,26.018465042114258,36.0,190.0,148.74502563476562,15.159457206726074,125.0,186.0,95.17334747314453,18.70105743408203,49.0,126.0,0.00964677945978035,0.021816562778272486,0.03502523003858712,0.11724547343425348,0.3205699020480855,0.26625111308993765,0.08578213119620065,0.04511724547343425,0.05595132086672603,0.04259424161472247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.327614509929532,0.9393230550914186,0.8571341567854511,0.8754638716929607,0.7346789627283064,4.582840228462498,Benign,./data/Original/Benign/WBC-Benign-344.jpg
2629.0,442.1797615707168,0.7227049881284964,0.630909527237821,0.1689673246754488,1.0,0.24996707099274895,0.007806183112205701,0.0011799693984319679,0.00019196213702790771,7.780034926256927e-08,1.6957462430245497e-05,4.789422657542382e-08,120.89776611328125,9.46685791015625,99.0,176.0,89.8010482788086,47.44187927246094,4.0,255.0,151.70887756347656,19.670270919799805,90.0,216.0,116.06434631347656,23.335397720336914,46.0,190.0,143.31399536132812,13.589377403259277,124.0,174.0,101.71548461914062,15.949663162231445,63.0,141.0,0.006337834114081014,0.013640121245522182,0.023284651419123725,0.11683659410305869,0.3481675392670157,0.29030035822540645,0.07839625241113254,0.04615596583080739,0.04353816478368697,0.033342518600165336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.861166720051249,0.9349329052676632,0.8450311577738653,0.8702819826660924,0.7140776576086393,4.406976975798499,Benign,./data/Original/Benign/WBC-Benign-300.jpg
1608.0,286.43354954612926,0.813413642518458,0.6686070686070686,0.24629077120651205,1.0,0.23826953692759462,0.013875162932639558,0.004068267931004213,0.0008159013372472583,1.4366428276088928e-06,6.207406592752042e-05,3.8170966050703814e-07,126.73697662353516,10.176078796386719,39.0,150.0,108.95435333251953,66.38887786865234,3.0,255.0,155.39918518066406,25.580991744995117,93.0,230.0,109.06375122070312,24.2943058013916,47.0,186.0,153.64205932617188,18.980417251586914,123.0,187.0,95.10184478759766,20.723833084106445,56.0,133.0,0.013851723595151896,0.020620179442782938,0.03840705178655753,0.12073036360774438,0.30332126554383754,0.2623957185581615,0.10121202581457579,0.05131433968203998,0.044703289784353846,0.043444042184794585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.797865951313261,0.9402096266459592,0.8634164934707468,0.8665019055164705,0.74548804119732,4.578127806596763,Benign,./data/Original/Benign/WBC-Benign-209.jpg
